Amor; Love; Amore;
Ódio; Hate; Odio;
Felicidade; Happiness; Felicità;
Tristeza; Sadness; Tristezza;
Alegria; Joy; Gioia;
Raiva; Anger; Rabbia;
Medo; Fear; Paura;
Coragem; Courage; Coraggio;
Confiança; Trust; Fiducia;
Insegurança; Insecurity; Insicurezza;
Liberdade; Freedom; Libertà;
Opressão; Oppression; Oppressione;
Igualdade; Equality; Uguaglianza;
Desigualdade; Inequality; Disuguaglianza;
Honestidade; Honesty; Onestà;
Desonestidade; Dishonesty; Disonestà;
Integridade; Integrity; Integrità;
Engano; Deception; Inganno;
Confusão; Confusion; Confusione;
Clareza; Clarity; Chiarezza;
Paz; Peace; Pace;
Guerra; War; Guerra;
Tolerância; Tolerance; Tolleranza;
Intolerância; Intolerance; Intolleranza;
Compaixão; Compassion; Compassione;
Indiferença; Indifference; Indifferenza;
Generosidade; Generosity; Generosità;
Avareza; Greed; Avidità;
Bondade; Kindness; Gentilezza;
Maldade; Evil; Malevolezza;
Perdão; Forgiveness; Perdono;
Vingança; Revenge; Vendetta;
Esperança; Hope; Speranza;
Desespero; Despair; Disperazione;
Determinação; Determination; Determinazione;
Procrastinação; Procrastination; Procrastinazione;
Ambição; Ambition; Ambizione;
Modéstia; Modesty; Modestia;
Arrogância; Arrogance; Arroganza;
Paciência; Patience; Pazienza;
Impaciência; Impatience; Impazienza;
Respeito; Respect; Rispetto;
Desrespeito; Disrespect; Disrispetto;
Gratidão; Gratitude; Gratitudine;
Ingratidão; Ingratitude; Ingratitudine;
Empatia; Empathy; Empatia;
Egoísmo; Selfishness; Egoismo;
Altruísmo; Altruism; Altruismo;
Solidariedade; Solidarity; Solidarietà;
Individualismo; Individualism; Individualismo.
