Cão ; Dog ; Cane ;
Gato ; Cat ; Gatto ;
Leão ; Lion ; Leone ;
Elefante ; Elephant ; Elefante ;
Girafa ; Giraffe ; Giraffa ;
Tigre ; Tiger ; Tigre ;
Pombo ; Dove ; Colomba ;
Zebra ; Zebra ; Zebra ;
Panda ; Panda ; Panda ;
Urso ; Bear ; Orso ;
Cavalo ; Horse ; Cavallo ;
Macaco ; Monkey ; Scimmia ;
Crocodilo ; Crocodile ; Coccodrillo ;
Rinoceronte ; Rhinoceros ; Rinoceronte ;
Camelo ; Camel ; Cammello ;
Hipopótamo ; Hippopotamus ; Ippopotamo ;
Canguru ; Kangaroo ; Canguro ;
Coala ; Koala ; Koala ;
Formiga ; Ant ; Formica ;
Pinguim ; Penguin ; Pinguino ;
Baleia ; Whale ; Balena ;
Golfinho ; Dolphin ; Delfino ;
Esquilo ; Squirrel ; Scoiattolo ;
Castor ; Beaver ; Castoro ;
Lobo ; Wolf ; Lupo ;
Raposa ; Fox ; Volpe ;
Coiote ; Coyote ; Coyote ;
Onça ; Jaguar ; Giaguaro ;
Pantera ; Panther ; Pantera ;
Guepardo ; Cheetah ; Ghepardo ;
Urubu ; Vulture ; Avvoltoio ;
Águia ; Eagle ; Aquila ;
Falcão ; Falcon ; Falco ;
Coruja ; Owl ; Gufo ;
Gaivota ; Seagull ; Gabbiano ;
Pato ; Duck ; Anatra ;
Galinha ; Chicken ; Gallina ;
Pomba ; Pigeon ; Piccione ;
Pavão ; Peacock ; Pavone ;
Corvo ; Crow ; Corvo ;
Abutre ; Buzzard ; Poiana ;
Javali ; Wild boar ; Cinghiale ;
Veado ; Deer ; Cervo ;
Antílope ; Antelope ; Antilope ;
Cervo ; Elk ; Alce ;
Touro ; Bull ; Toro ;
Vaca ; Cow ; Mucca ;
Cabra ; Goat ; Capra ;
Carneiro ; Ram ; Ariete ;
Porco ; Pig ; Maiale ;
Ovelha ; Sheep ; Pecora ;
Doninha ; Weasel ; Donnola ;
Texugo ; Badger ; Tasso ;
Tatu ; Armadillo ; Armadillo ;
Coelho ; Rabbit ; Coniglio ;
Gambá ; Opossum ; Opossum ;
Rato ; Rat ; Topo ;
Porco-espinho ; Porcupine ; Porcospino ;
Lontra ; Otter ; Lontra ;
Foca ; Seal ; Foca ;
Tartaruga ; Turtle ; Tartaruga ;
Cobra ; Snake ; Serpente ;
Lagarto ; Lizard ; Lucertola ;
Jacaré ; Alligator ; Coccodrillo ;
Sapo ; Frog ; Rana ;
Salamandra ; Salamander ; Salamandra ;
Peixe ; Fish ; Pesce ;
Tubarão ; Shark ; Squalo ;
Baleia assassina ; Killer whale ; Orca ;
Golfinho ; Dolphin ; Delfino ;
Tartaruga marinha ; Sea turtle ; Tartaruga marina ;
Estrela do mar ; Starfish ; Stella marina ;
Caranguejo ; Crab ; Granchio ;
Lagosta ; Lobster ; Aragosta ;
Camarão ; Shrimp ; Gamberetto ;
Lula ; Squid ; Calamaro ;
Polvo ; Octopus ; Polpo ;
Águia careca ; Bald eagle ; Aquila testabianca ;
Faisão ; Pheasant ; Fagiano ;
Galo ; Rooster ; Gallo ;
Coruja ; owl ; Gufo ;
Perdiz ; Partridge ; Pernice ;
Pardal ; Sparrow ; Passero ;
Pica-pau ; Woodpecker ; Picchio ;
Cisne ; Swan ; Cigno ;
Pelicano ; Pelican ; Pellicano ;
Gralha ; Jackdaw ; Cornacchia ;
Andorinha ; Swallow ; Rondine ;
Garça ; Heron ; Airone ;
Tucano ; Toucan ; Tucano ;
Formiga ; Ant ; Formica ;
Abelha ; Bee ; Ape ;
Borboleta ; Butterfly ; Farfalla ;
Mosquito ; Mosquito ; Zanzara ;
Besouro ; Beetle ; Scarabeo ;
Joaninha ; Ladybug ; Coccinella ;
Gafanhoto ; Grasshopper ; Cavalletta ;
Barata ; Cockroach ; Scarafaggio ;
Pulga ; Flea ; Pulce ;
Escorpião ; Scorpion ; Scorpione ;
Aranha ; Spider ; Ragno ;
Jumento ; Mule ; Mulo ;
Ganso ; Goose ; Oca ;
Peru ; Turkey ; Tacchino ;
Burro ; Donkey ; Asino ;
Cachorro ; Dog ; Cane ;
Bode ; Billy goat ; Caprone ;
Pônei ; Pony ; Pony ;
Bezerro ; Calf ; Vitello ;
Pomba ; Dove ; Colomba;
