Arroz; Rice; Riso;
Feijão; Beans; Fagioli;
Macarrão; Pasta; Pasta;
Carne; Meat; Carne;
Peixe; Fish; Pesce;
Frango; Chicken; Pollo;
Carne de porco; Pork; Carne di maiale;
Legumes; Vegetables; Verdure;
Frutas; Fruits; Frutta;
Pão; Bread; Pane;
Queijo; Cheese; Formaggio;
Ovos; Eggs; Uova;
Leite; Milk; Latte;
Iogurte; Yogurt; Yogurt;
Manteiga; Butter; Burro;
Azeite; Olive oil; Olio d'oliva;
Vinagre; Vinegar; Aceto;
Sal; Salt; Sale;
Pimenta; Pepper; Pepe;
Açúcar; Sugar; Zucchero;
Chocolate; Chocolate; Cioccolato;
Sorvete; Ice cream; Gelato;
Bolo; Cake; Torta;
Biscoito; Cookie; Biscotto;
Doce; Candy; Caramella;
Chá; Tea; Tè;
Café; Coffee; Caffè;
Suco; Juice; Succo;
Refrigerante; Soda; Bibita gassata;
Água; Water; Acqua;
Sopa; Soup; Zuppa;
Sanduíche; Sandwich; Panino;
