Vermelho ; Red ; Rosso ;
Azul ; Blue ; Blu ;
Amarelo ; Yellow ; Giallo ;
Verde ; Green ; Verde ;
Laranja ; Orange ; Arancione ;
Roxo ; Purple ; Viola ;
Preto ; Black ; Nero ;
Branco ; White ; Bianco ;
Rosa ; Pink ; Rosa ;
Cinza ; Gray ; Grigio ;
Marrom ; Brown ; Marrone ;
Bege ; Beige ; Beige ;
Dourado ; Gold ; Oro ;
Prateado ; Silver ; Argento ;
Ciano ; Cyan ; Ciano ;
Magenta ; Magenta ; Magenta ;
Turquesa ; Turquoise ; Turchese ;
Bordô ; Burgundy ; Bordeaux ;
Azul claro ; Light blue ; Azzurro;
