Cabeça ; Head ; Testa ;
Rosto ; Face ; Viso ;
Olhos ; Eyes ; Occhi ;
Orelhas ; Ears ; Orecchie ;
Nariz ; Nose ; Naso ;
Boca ; Mouth ; Bocca ;
Dentes ; Teeth ; Denti ;
Língua ; Tongue ; Lingua ;
Pescoço ; Neck ; Collo ;
Ombros ; Shoulders ; Spalle ;
Braços ; Arms ; Braccia ;
Cotovelos ; Elbows ; Gomiti ;
Mãos ; Hands ; Mani ;
Dedos ; Fingers ; Dita ;
Peito ; Chest ; Petto ;
Costas ; Back ; Schiena ;
Barriga ; Belly ; Pancia ;
Estomago ; Stomach ; Stomaco ;
Quadris ; Hips ; Fianchi ;
Pernas ; Legs ; Gambe ;
Pés ; Feet ; Piedi;
Cérebro ; Brain ; Cervello ;
Coração ; Heart ; Cuore ;
Pulmões ; Lungs ; Polmoni ;
Estômago ; Stomach ; Stomaco ;
Fígado ; Liver ; Fegato ;
Intestino ; Intestine ; Intestino ;
Pâncreas ; Pancreas ; Pancreas ;
Baço ; Spleen ; Milza ;
Rins ; Kidneys ; Reni ;
Bexiga ; Bladder ; Vescica;
Lábios ; Lips ; Labbra ;
Sobrancelhas ; Eyebrows ; Sopracciglia ;
Dedos dos pés ; Toes ; Dita dei piedi ;
Coxa ; Thigh ; Coscia ;
Cabelo ; Hair ; Capelli;
