Fazenda; Farm; Fattoria;
Autoestrada; Highway; Autostrada;
Estrada; Road; Strada;
Rua; Street; Via;
Avenida; Avenue; Viale;
Praça; Square; Piazza;
Jardim; Garden; Giardino;
Fábrica; Factory; Fabbrica;
Depósito; Warehouse; Deposito;
Centro de convenções; Convention center; Centro congressi;
Teatro; Theater; Teatro;
Cinema; Movie theater; Cinema;
Museu; Museum; Museo;
Biblioteca; Library; Biblioteca;
Escola; School; Scuola;
Universidade; University; Università;
Hospital; Hospital; Ospedale;
Clínica; Clinic; Clinica;
Farmácia; Pharmacy; Farmacia;
Prédio comercial; Office building; Edificio per uffici;
Prédio residencial; Residential building; Edificio residenziale;
Edifício governamental; Government building; Edificio governativo;
Palácio; Palace; Palazzo;
Castelo; Castle; Castello;
Forte; Fort; Forte;
Presídio; Prison; Prigione;
Cemitério; Cemetery; Cimitero;
Parque de diversões; Amusement park; Parco divertimenti;
Zoológico; Zoo; Giardino zoologico;
Aquário; Aquarium; Acquario;
Estádio; Stadium; Stadio;
Ginásio; Gymnasium; Palestra;
Piscina; Swimming pool; Piscina;
Cidade; City; Città;
Vila; Village; Villaggio;
Bairro; Neighborhood; Quartiere;
Condomínio; Condominium; Condominio;
Shopping; Mall; Centro commerciale;
Loja; Store; Negozio;
Restaurante; Restaurant; Ristorante;
Café; Coffee shop; Caffetteria;
Bar; Bar; Bar;
Hotel; Hotel; Albergo;
Aeroporto; Airport; Aeroporto;
Estação de trem; Train station; Stazione ferroviaria;
Terminal de ônibus; Bus terminal; Terminal autobus;
Estação rodoviária; Bus station; Stazione degli autobus;
Porto; Harbor; Porto;
Píer; Pier; Molo;
Ponte; Bridge; Ponte;
Barragem; Dam; Diga;
Usina hidrelétrica; Hydroelectric power plant; Centrale idroelettrica;
Usina nuclear; Nuclear power plant; Centrale nucleare;
Indústria; Industry; Industria;
Centro comercial; Shopping center; Centro commerciale;
Supermercado; Supermarket; Supermercato;
Loja de departamento; Department store; Grande magazzino;
Loja de conveniência; Convenience store; Negozio di alimentari;
Galeria comercial; Arcade; Galleria commerciale;
Mercado; Market; Mercato;
Armazém; Warehouse; Magazzino;
Depósito; Depot; Deposito;
Parque industrial; Industrial park; Parco industriale;
Distrito industrial; Industrial district; Distretto industriale;
Zona portuária; Port area; Zona portuale;
Docas; Docks; Dock;
Terminal de carga; Cargo terminal; Terminale di carico;
Aeroporto de carga; Cargo airport; Aeroporto di carico;
Zona franca; Free zone; Zona franca;
Edifício comercial; Commercial building; Edificio commerciale;
Escritório; Office; Ufficio;
