Carro; Car; Auto;
Moto; Motorcycle; Motocicletta;
Ônibus; Bus; Autobus;
Trem; Train; Treno;
Metropolitano; Subway; Metropolitana;
Bonde; Trolley; Tram;
Barco; Boat; Barca;
Navio; Ship; Nave;
Cruzeiro; Cruise; Crociera;
Ferry; Ferry; Traghetto;
Bicicleta; Bicycle; Bicicletta;
Patinete; Scooter; Monopattino;
Helicóptero; Helicopter; Elicottero;
Avião; Airplane; Aereo;
Balão de ar quente; Hot air balloon; Mongolfiera;
Paraquedas; Parachute; Paracadute;
Carroça; Cart; Carrozza;
Carruagem; Carriage; Carrozza trainata da cavalli;
Cavalo; Horse; Cavallo;
Camelo; Camel; Cammello;
Mula; Mule; Mulo;
Táxi; Taxi; Taxi;
