Água; Water; Acqua;
Terra; Earth; Terra;
Ar; Air; Aria;
Fogo; Fire; Fuoco;
Céu; Sky; Cielo;
Sol; Sun; Sole;
Lua; Moon; Luna;
Estrela; Star; Stella;
Nuvem; Cloud; Nuvola;
Arco-íris; Rainbow; Arcobaleno;
Ventania; Windstorm; Tempesta di vento;
Tempestade; Storm; Tempesta;
Trovão; Thunder; Tuono;
Relâmpago; Lightning; Fulmine;
Chuva; Rain; Pioggia;
Neve; Snow; Neve;
Gelo; Ice; Ghiaccio;
Geada; Frost; Brina;
Orvalho; Dew; Rugiada;
Neblina; Mist; Nebbia;
Floresta; Forest; Foresta;
Árvore; Tree; Albero;
Folha; Leaf; Foglia;
Galho; Branch; Ramo;
Tronco; Trunk; Tronco;
Raiz; Root; Radice;
Grama; Grass; Erba;
Flor; Flower; Fiore;
Semente; Seed; Seme;
Fruta; Fruit; Frutto;
Verdura; Vegetable; Verdura;
Cogumelo; Mushroom; Fungo;
Pedra; Stone; Pietra;
Rocha; Rock; Roccia;
Montanha; Mountain; Montagna;
Colina; Hill; Collina;
Vale; Valley; Valle;
Rio; River; Fiume;
Cachoeira; Waterfall; Cascata;
Lago; Lake; Lago;
Mar; Sea; Mare;
Oceano; Ocean; Oceano;
Praia; Beach; Spiaggia;
Coral; Coral; Corallo;
Concha; Shell; Conchiglia;
Rocha; Rock; Roccia;
Caverna; Cave; Grotta;
Areia; Sand; Sabbia;
Pedregulho; Pebble; Ghiaia;
Terra; Soil; Suolo;
Lama; Mud; Fango;
Argila; Clay; Argilla;
Musgo; Moss; Muschio;
Folhagem; Foliage; Fogliame;
Arbusto; Shrub; Cespuglio;
Raio de sol; Sunbeam; Raggio di sole;
Brisa; Breeze; Brezza;
Nevoeiro; Fog; Nebbia;
Pôr do sol; Sunset; Tramonto;
Nascer do sol; Sunrise; Alba;
Vento; Wind; Vento;
Tempestade de areia; Sandstorm; Tempesta di sabbia;
Deserto; Desert; Deserto;
Oásis; Oasis; Oasi;
Céu estrelado; Starry sky; Cielo stellato;
Geleira; Glacier; Ghiacciaio;
Vulcão; Volcano; Vulcano;
Terremoto; Earthquake; Terremoto;
Maremoto; Tsunami; Maremoto;
Cachoeira; Waterfall; Cascata;
Lagoa; Pond; Stagno;
Rio; River; Fiume;
Corrente; Stream; Torrente;
Penhasco; Cliff; Scogliera.
