Comida; Food; Cibo;
Água; Water; Acqua;
Abrigo; Shelter; Rifugio;
Roupa; Clothing; Abbigliamento;
Medicina; Medicine; Medicina;
Higiene; Hygiene; Igiene;
Transporte; Transportation; Trasporto;
Educação; Education; Educazione;
Trabalho; Work; Lavoro;
Dinheiro; Money; Soldi;
Amor; Love; Amore;
Família; Family; Famiglia;
Amigos; Friends; Amici;
Liberdade; Freedom; Libertà;
Arte; Art; Arte;
Esporte; Sport; Sport;
Aventura; Adventure; Avventura;
Religião; Religion; Religione;
Espiritualidade; Spirituality; Spiritualità;
Conhecimento; Knowledge; Conoscenza;
Arma; Weapon; Arma;
Lenha; Firewood; Legna;
Fogo; Fire; Fuoco;
Sono; Sleep; Sonno;
Ar; Air; Aria;
Saúde; Health; Salute;
Higiene; Hygiene; Igiene;
Vestuário; Clothing; Abbigliamento;
Segurança; Security; Sicurezza;
Energia; Energy; Energia;
Combustível; Fuel; Carburante;
Bateria; Battery; Batteria;
Transporte; Transportation; Trasporto;
Internet; Internet; Internet;
Aquecimento; Heating; Riscaldamento;
Iluminação; Lighting; Illuminazione;
Medicamentos; Medications; Medicinali;
Assistência Médica; Medical Care; Assistenza sanitaria;
Saneamento; Sanitation; Sanitario;
Comunicação; Communication; Comunicazione;
Trabalho; Work; Lavoro;
Autonomia; Autonomy; Autonomia;
