Cama; Bed; Letto;
Guarda-roupa; Wardrobe; Armadio;
Cômoda; Dresser; Cassettiera;
Mesinha de cabeceira; Nightstand; Comodino;
Colchão; Mattress; Materasso;
Travesseiro; Pillow; Cuscino;
Sofá; Sofa; Divano;
Poltrona; Armchair; Poltrona;
Pufe; Ottoman; Poggiapiedi;
Mesa de jantar; Dining table; Tavolo da pranzo;
Cadeira de jantar; Dining chair; Sedia da pranzo;
Cristaleira; China cabinet; Vetrina;
Estante; Bookshelf; Libreria;
Sofá-cama; Sofa bed; Divano letto;
Mesa de centro; Coffee table; Tavolino da caffè;
Tapete; Rug; Tappeto;
Cortina; Curtain; Tenda;
Persiana; Blind; Tapparella;
Espelho; Mirror; Specchio;
Luminária; Lamp; Lampada;
Armário de banheiro; Bathroom cabinet; Mobiletto del bagno;
Pia de banheiro; Bathroom sink; Lavandino del bagno;
Banheira; Bathtub; Vasca da bagno;
Chuveiro; Shower; Doccia;
Vaso sanitário; Toilet; Wc;
Banco; Bench; Panchina;
Banquinho; Stool; Sgabello;
Sapateira; Shoe rack; Portascarpe;
Porta-copos; Coaster; Sottobicchiere;
Cadeira; Chair; Sedia;
Mesa; Table; Tavolo;
Armário; Wardrobe; Armadio;
Prateleira; Shelf; Scaffale;
Mesa de cabeceira; Nightstand; Comodino;
Abajur; Table lamp; Abat-jour;
Armário de cozinha; Kitchen cabinet; Armadietto da cucina;
Mesa de escritório; Desk; Scrivania;
Escada; Ladder; Scala;
