Colher; Spoon; Cucchiaio;
Garfo; Fork; Forchetta;
Faca; Knife; Coltello;
Prato; Plate; Piatto;
Copo; Glass; Bicchiere;
Xícara; Cup; Tazza;
Tigela; Bowl; Ciotola;
Panela; Pot; Pentola;
Frigideira; Frying pan; Padella per friggere;
Espátula; Spatula; Spatola;
Peneira; Sieve; Setaccio;
Escorredor; Strainer; Colino;
Tábua de corte; Cutting board; Tagliere;
Tesoura; Scissors; Forbici;
Pegador de alimentos; Tongs; Pinze da cucina;
Luva de cozinha; Oven mitt; Guanto da forno;
Batedor de ovos; Whisk; Frusta;
Ralador; Grater; Grattugia;
Cafeteira; Coffee maker; Macchina per il caffè;
Liquidificador; Blender; Frullatore;
Chaleira; Kettle; Bollitore;
Torradeira; Toaster; Tostapane;
Forno elétrico; Electric oven; Forno elettrico;
Micro-ondas; Microwave; Forno a microonde;
Abridor de garrafas; Bottle opener; Apriscatole;
Prato; Dish; Piatto;
Talheres; Silverware; Posate;
Copo; Glass; Bicchiere;
Taça; Goblet; Calice;
Travessa; Platter; Piatto;
Tigela; Bowl; Ciotola;
Candelabro; Chandelier; Lampadario;
Armário de cozinha; Kitchen cabinet; Armadietto da cucina;
Geladeira; Refrigerator; Frigorifero;
Fogão; Stove; Fornello;
Cortina; Curtain; Tenda;
Persiana; Blind; Tapparella;
Travessa; Platter; Piatto;
Geladeira; Refrigerator; Frigorifero;
Fogão; Stove; Fornello;
Batedeira; Mixer; Frullatore;
Liquidificador; Blender; Frullatore;
