Sala de estar; Living room; Soggiorno;
Sala de jantar; Dining room; Sala da pranzo;
Cozinha; Kitchen; Cucina;
Quarto; Bedroom; Camera da letto;
Banheiro; Bathroom; Bagno;
Lavabo; Powder room; Bagno di servizio;
Escritório; Office; Ufficio;
Biblioteca; Library; Biblioteca;
Garagem; Garage; Garage;
Jardim; Garden; Giardino;
Pátio; Patio; Patio;
Terraço; Terrace; Terrazza;
Varanda; Balcony; Balcone;
Telhado; Roof; Tetto;
Chaminé; Chimney; Canna fumaria;
Porta; Door; Porta;
Janela; Window; Finestra;
Parede; Wall; Parete;
Teto; Ceiling; Soffitto;
Piso; Floor; Pavimento;
Tapete; Rug; Tappeto;
Cortina; Curtain; Tenda;
Armário; Closet; Armadio;
Prateleira; Shelf; Mensola;
Estante; Bookcase; Libreria;
Sofá; Sofa; Divano;
Cadeira; Chair; Sedia;
Mesa; Table; Tavolo;
Cama; Bed; Letto;
Criado-mudo; Nightstand; Comodino;
Ventilador; Fan; Ventilatore;
Aquecedor; Heater; Riscaldatore;
Termostato; Thermostat; Termostato;
Persianas; Blinds; Scuri;
Cortina de rolo; Roller shade; Tenda a rullo;
Portão; Gate; Cancello;
Luminária; Light fixture; Luminaria;
Interruptor; Light switch; Interruttore;
Tomada elétrica; Electrical outlet; Presa elettrica;
Corredor; Hallway; Corridoio;
Escada; Staircase; Scala;
Elevador; Elevator/Lift; Ascensore;
Porão; Basement; Cantina;
Sótão; Attic; Soffitta;
Lavanderia; Laundry room; Stanza lavanderia;
Despensa; Pantry; Dispensa;
Escaninho; Closet; Armário;
Cômodo; Room; Stanza;
Sala de TV; TV room; Stanza TV;
Sala de jogos; Game room; Sala giochi;
Adega; Wine cellar; Cantina del vino;
Sauna; Sauna; Sauna;
Banheira de hidromassagem; Hot tub; Vasca idromassaggio;
Piscina; Pool; Piscina;
Chuveiro; Shower; Doccia;
Torneira; Faucet; Rubinetto;
Mangueira; Hose; Tubo flessibile;
Regador; Watering can; Annaffiatoio;
Pá; Shovel; Pala;
