Amigos; Friends; Amici;
Conhecidos; Acquaintances; Conoscenti;
Familiares; Relatives; Parenti;
Pais; Parents; Genitori;
Mãe; Mother; Madre;
Pai; Father; Padre;
Irmãos; Siblings; Fratelli;
Irmã; Sister; Sorella;
Irmão; Brother; Fratello;
Avós; Grandparents; Nonni;
Avó; Grandmother; Nonna;
Avô; Grandfather; Nonno;
Tios; Uncles; Zii;
Tia; Aunt; Zia;
Tio; Uncle; Zio;
Primos; Cousins; Cugini;
Desconhecidos; Strangers; Sconosciuti;
Filhos; Children; Figli;
Filha; Daughter; Figlia;
Filho; Son; Figlio;
