
a;to;a;
com;with;con;
de (Origem ou proposito);from;da;
de (No sentido de posse);of;di;
em;in;in;
para;for;per;
sobre;on;su;
entre;between;tra;
ao (Masculino Singular);to the;al;
ao (Masculino e Feminino de PALAVRAS COM VOGAIS);to the;all';
aos (Plural Masculino);to the;ai;
ao (SINGULAR que comecam com consoante Z,PS,GN ou X);to the;allo;
aos (MASCULINAS no PLURAL que comecam com VOGAL ou PS,GN,X);to the;agli;
a (Femininas no SINGULAR);to the;alla;
às (Femininas no PLURAL);to the;alle;
do;from the;dal;
da e do (Masculino ou Feminino no Singular comecando com VOGAIS);from the;dall';
dos;from the;dai;
do;from the;dallo;
dos (Masculino Plural palavras que comecam com Vogal ou Z,PS,GN,X);from the;dagli;
da;from the;dalla;
das;from the;dalle;
no;in the;nel;
no e na (Masculino ou Feminino no Singular comecando com VOGAIS);in the;nell';
nos;in the;nei;
no;in the;nello;
nos (Masculino Plural palavras que comecam com Vogal ou Z,PS,GN,X);in the;negli;
na;in the;nella;
nas;in the;nelle;
sobre o;on the;sul;
sobre o, sobre a (Masculino ou Feminino no Singular comecando com VOGAIS);on the;sull';
sobre os;on the;sui;
sobre o;on the;sullo;
sobre os (Masculino Plural palavras que comecam com Vogal ou Z,PS,GN,X);on the;sugli;
sobre a;on the;sulla;
sobre as;on the;sulle;
