Médico ; Doctor ; Medico ;
Enfermeiro ; Nurse ; Infermiere ;
Advogado ; Lawyer ; Avvocato ;
Professor ; Teacher ; Insegnante ;
Engenheiro ; Engineer ; Ingegnere ;
Dentista ; Dentist ; Dentista ;
Psicólogo ; Psychologist ; Psicologo ;
Jornalista ; Journalist ; Giornalista ;
Veterinário ; Veterinarian ; Veterinario ;
Arquiteto ; Architect ; Architetto ;
Contador ; Accountant ; Contabile ;
Programador ; Programmer ; Programmatore ;
Farmacêutico ; Pharmacist ; Farmacista ;
Policial ; Police officer ; Poliziotto ;
Empresário ; Entrepreneur ; Imprenditore ;
Consultor ; Consultant ; Consulente ;
Analista de sistemas ; Systems analyst ; Analista di sistemi ;
Gerente ; Manager ; Manager ;
Chef de cozinha ; Chef ; Chef ;
Fisioterapeuta ; Physiotherapist ; Fisioterapista ;
Esteticista ; Aesthetician ; Estetista ;
Cabeleireiro ; Hairdresser ; Parrucchiere ;
Fotógrafo ; Photographer ; Fotografo ;
Artista ; Artist ; Artista ;
Escritor ; Writer ; Scrittore ;
Editor ; Editor ; Editore ;
Médico veterinário ; Veterinary doctor ; Medico veterinario ;
Pediatra ; Pediatrician ; Pediatra ;
Cirurgião ; Surgeon ; Chirurgo ;
Psiquiatra ; Psychiatrist ; Psichiatra ;
Terapeuta ; Therapist ; Terapeuta ;
Nutricionista ; Nutritionist ; Nutrizionista ;
Massagista ; Massage therapist ; Massoterapista ;
Historiador ; Historian ; Storico ;
Geólogo ; Geologist ; Geologo ;
Biólogo ; Biologist ; Biologo ;
Químico ; Chemist ; Chimico ;
Físico ; Physicist ; Fisico ;
Astrônomo ; Astronomer ; Astronomo ;
Meteorologista ; Meteorologist ; Meteorologo ;
Matemático ; Mathematician ; Matematico ;
Estatístico ; Statistician ; Statistico ;
Economista ; Economist ; Economista ;
Filósofo ; Philosopher ; Filosofo ;
Teólogo ; Theologian ; Teologo ;
Pastor ; Pastor ; Pastore ;
Missionário ; Missionary ; Missionario ;
Diplomata ; Diplomat ; Diplomatico ;
Embaixador ; Ambassador ; Ambasciatore ;
Piloto ; Pilot ; Pilota ;
Comissário de bordo ; Flight attendant ; Assistente di volo ;
Mecânico ; Mechanic ; Meccanico ;
Eletricista ; Electrician ; Elettricista ;
Encanador ; Plumber ; Idraulico ;
Pedreiro ; Bricklayer ; Muratore ;
Pintor ; Painter ; Pittore ;
Carpinteiro ; Carpenter ; Falegname ;
Marceneiro ; Joiner ; Tornitore ;
Soldador ; Welder ; Saldatore ;
Encarregado de obra ; Site manager ; Responsabile del cantiere ;
Empreiteiro ; Contractor ; Appaltatore ;
Comprador ; Purchaser ; Acquirente ;
Vendedor ; Salesperson ; Venditore ;
Marketing ; Marketing ; Marketing ;
Ator ; Actor ; Attore ;
Diretor de cinema ; Film director ; Regista ;
Roteirista ; Screenwriter ; Sceneggiatore ;
Produtor ; Producer ; Produttore ;
Cantor ; Singer ; Cantante ;
Dançarino ; Dancer ; Ballerino ;
Atleta ; Athlete ; Atleta ;
Árbitro ; Referee ; Arbitro ;
Treinador ; Coach ; Allenatore ;
Astronauta ; Astronaut ; Astronauta ;
