Copo; Cup; Tazza;
Caneca; Mug; Tazza grande;
Garrafa; Bottle; Bottiglia;
Frasco; Jar; Barattolo;
Pote; Pot; Pentola;
Tigela; Bowl; Ciotola;
Prato; Plate; Piatto;
Travessa; Platter; Piatto fondo;
Bandeja; Tray; Vassoio;
Caixa; Box; Scatola;
Saco; Bag; Borsa;
Mala; Suitcase; Valigia;
Sacola; Tote bag; Borsa a tracolla;
Balde; Bucket; Secchio;
Lata; Can; Lattina;
Panela; Pan; Padella;
Frigideira; Frying pan; Padella per friggere;
Assadeira; Baking dish; Pirofila;
Forma; Cake pan; Stampo per dolci;
Prateleira; Shelf; Scaffale;
Gaveta; Drawer; Cassetto;
Freezer; Freezer; Congelatore;
Geladeira; Refrigerator; Frigorifero;
Estante; Bookshelf; Libreria;
Armário; Cabinet; Armadio;
Caixa de papelão; Cardboard box; Scatola di cartone;
Vaso; Vase; Vaso;
Jarro; Pitcher; Brocca;
Garrafa térmica; Thermos; Termos;
Taça; Glass; Calice;
Mochila; Backpack; Zaino;
Bolsa; Bag; Borsa;
Estojo; Pencil case; Astuccio;
Mala; Suitcase; Valigia;
