Camiseta; T-shirt; Maglietta;
Blusa; Blouse; Blusa;
Camisa; Shirt; Camicia;
Calça; Pants; Pantaloni;
Shorts; Shorts; Pantaloncini;
Saia; Skirt; Gonna;
Vestido; Dress; Vestito;
Jaqueta; Jacket; Giacca;
Blazer; Blazer; Blazer;
Casaco; Coat; Cappotto;
Moletom; Sweatshirt; Felpa;
Suéter; Sweater; Maglione;
Terno; Suit; Abito;
Macacão; Jumpsuit; Tuta;
Uniforme; Uniform; Uniforme;
Roupão; Bathrobe; Accappatoio;
Biquíni; Bikini; Bikini;
Sutiã; Bra; Reggiseno.
Calcinha; Panties; Mutandine;
Sandália; Sandal; Sandalo;
Cachecol; Necktie; Sciarpa;
Gravata; Tie; Cravatta;
Lenço; Scarf; Sciarpa;
Luvas; Gloves; Guanti;
Boné; Cap; Cappellino;
Chapéu; Hat; Cappello;
Meia; Sock; Calza;
Sapato; Shoe; Scarpa.
